
   CUR_AVG    CUR_SUM STREET_NUMBER STREET_NAME              POSTAL_
---------- ---------- ------------- ------------------------ -------
     835.3      835.3           367 ATWOOD                          
     835.3      835.3           367 ATWOOD                          
     362.8      725.6           424 ATWOOD                          
     362.8      725.6           424 ATWOOD                          
     520.3     1560.9               ATWOOD                          
     520.3     1560.9               ATWOOD                          
     202.5      202.5          1279 BISHOPSTOKE                     
     202.5      202.5          1279 BISHOPSTOKE                     
     202.5      202.5               BISHOPSTOKE                     
     202.5      202.5               BISHOPSTOKE                     
     916.3      916.3            41 BRIDGEWATER                     

   CUR_AVG    CUR_SUM STREET_NUMBER STREET_NAME              POSTAL_
---------- ---------- ------------- ------------------------ -------
     916.3      916.3            41 BRIDGEWATER                     
     916.3      916.3               BRIDGEWATER                     
     916.3      916.3               BRIDGEWATER                     
       114        114           397 CALLAGHAN                       
       114        114           397 CALLAGHAN                       
       114        114               CALLAGHAN                       
       114        114               CALLAGHAN                       
     606.6      606.6           353 CARRIER                         
     606.6      606.6           353 CARRIER                         
     606.6      606.6               CARRIER                         
     606.6      606.6               CARRIER                         

   CUR_AVG    CUR_SUM STREET_NUMBER STREET_NAME              POSTAL_
---------- ---------- ------------- ------------------------ -------
     676.4      676.4           223 CHURCH                          
     676.4      676.4           223 CHURCH                          
     676.4      676.4               CHURCH                          
     676.4      676.4               CHURCH                          
     552.1      552.1           281 DOUGLAS                         
     552.1      552.1           281 DOUGLAS                         
     552.1      552.1               DOUGLAS                         
     552.1      552.1               DOUGLAS                         
      43.4       43.4            65 DUNN                            
      43.4       43.4            65 DUNN                            
      43.4       43.4               DUNN                            

   CUR_AVG    CUR_SUM STREET_NUMBER STREET_NAME              POSTAL_
---------- ---------- ------------- ------------------------ -------
      43.4       43.4               DUNN                            
     180.2      180.2           396 FREEMAN                         
     180.2      180.2           396 FREEMAN                         
     180.2      180.2               FREEMAN                         
     180.2      180.2               FREEMAN                         
     431.7      431.7           201 GLOUCESTER                      
     431.7      431.7           201 GLOUCESTER                      
     431.7      431.7               GLOUCESTER                      
     431.7      431.7               GLOUCESTER                      
     540.9     1081.8          1395 GOLDEN MEADOW                   
     540.9     1081.8          1395 GOLDEN MEADOW                   

   CUR_AVG    CUR_SUM STREET_NUMBER STREET_NAME              POSTAL_
---------- ---------- ------------- ------------------------ -------
